,NAME,ZCTA,ZIP_TYPE,zip_join_type,PO_NAME,STATE,S1903_C03_015E,S1903_C03_034E
8149,ZCTA5 20877,20877,Post Office or large volume customer,Spatial join to ZCTA,Gaithersburg,MD,83163,57599
8150,ZCTA5 20878,20878,Zip Code Area,Zip matches ZCTA,Gaithersburg,MD,151616,74627
8151,ZCTA5 20878,20878,Post Office or large volume customer,Spatial join to ZCTA,Gaithersburg,MD,151616,74627
8152,ZCTA5 20878,20878,Post Office or large volume customer,Spatial join to ZCTA,Gaithersburg,MD,151616,74627
8153,ZCTA5 20879,20879,Zip Code Area,Zip matches ZCTA,Gaithersburg,MD,102000,60881
8154,ZCTA5 20880,20880,Zip Code Area,Zip matches ZCTA,Washington Grove,MD,149375,91667
8155,ZCTA5 20882,20882,Zip Code Area,Zip matches ZCTA,Gaithersburg,MD,150549,55417
8156,ZCTA5 20886,20886,Zip Code Area,Zip matches ZCTA,Montgomery Village,MD,99442,60477
8157,ZCTA5 20895,20895,Post Office or large volume customer,Spatial join to ZCTA,Kensington,MD,186613,66364
8158,ZCTA5 20895,20895,Zip Code Area,Zip matches ZCTA,Kensington,MD,186613,66364
8159,ZCTA5 20896,20896,Zip Code Area,Zip matches ZCTA,Garrett Park,MD,236625,150000
8160,ZCTA5 20899,20899,Post Office or large volume customer,Zip matches ZCTA,Gaithersburg,MD,19950,0
8161,ZCTA5 20901,20901,Zip Code Area,Zip matches ZCTA,Silver Spring,MD,131774,72656
8162,ZCTA5 20901,20901,Post Office or large volume customer,Spatial join to ZCTA,Silver Spring,MD,131774,72656
8163,ZCTA5 20902,20902,Zip Code Area,Zip matches ZCTA,Silver Spring,MD,104284,58906
8164,ZCTA5 20902,20902,Post Office or large volume customer,Spatial join to ZCTA,Silver Spring,MD,104284,58906
8165,ZCTA5 20903,20903,Zip Code Area,Zip matches ZCTA,Silver Spring,MD,68257,46505
8166,ZCTA5 20903,20903,Post Office or large volume customer,Spatial join to ZCTA,Silver Spring,MD,68257,46505
8167,ZCTA5 20904,20904,Zip Code Area,Zip matches ZCTA,Silver Spring,MD,102805,58867
8168,ZCTA5 20904,20904,Post Office or large volume customer,Spatial join to ZCTA,Silver Spring,MD,102805,58867
8169,ZCTA5 20905,20905,Zip Code Area,Zip matches ZCTA,Silver Spring,MD,143308,71071
8170,ZCTA5 20906,20906,Zip Code Area,Zip matches ZCTA,Silver Spring,MD,91407,52882
8171,ZCTA5 20906,20906,Post Office or large volume customer,Spatial join to ZCTA,Silver Spring,MD,91407,52882
8172,ZCTA5 20906,20906,Post Office or large volume customer,Spatial join to ZCTA,Silver Spring,MD,91407,52882
8173,ZCTA5 20910,20910,Post Office or large volume customer,Spatial join to ZCTA,Silver Spring,MD,132382,75414
8174,ZCTA5 20910,20910,Zip Code Area,Zip matches ZCTA,Silver Spring,MD,132382,75414
8175,ZCTA5 20910,20910,Post Office or large volume customer,Spatial join to ZCTA,Silver Spring,MD,132382,75414
8176,ZCTA5 20910,20910,Post Office or large volume customer,Spatial join to ZCTA,Silver Spring,MD,132382,75414
8177,ZCTA5 20912,20912,Post Office or large volume customer,Spatial join to ZCTA,Hyattsville,MD,100056,45631
